"Source:","/home/schuyler/Documents/projects/LC_meter/ecad/LC_meter.kicad_sch"
"Date:","Thu 21 Dec 2023 10:45:51 PM MST"
"Tool:","Eeschema 7.0.9-7.0.9~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","93"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Availability","Check_prices","Description","Distributor","Distributor Part #","MANUFACTURER","MF","MP","PARTREV","Package","Part #","Price","Purchase-URL","SNAPEDA_PN","STANDARD","SnapEDA_Link","Unit Price"
"1","6","C1, C5, C8, C11, C15, C16","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","DIGIKEY","1276-1003-1-ND","","","","","","CL21B104KBCNNNC","","","","","","0.1"
"2","3","C2, C3, C4","100pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","DIGIKEY","1276-1261-1-ND","","","","","","CL21C101JCANNNC","","","","","","0.1"
"3","4","C6, C7, C13, C14","PNU","Device:C","Capacitor_SMD:C_0805_2012Metric","~","DNP","","","","N/A","N/A","","","","","","N/A","N/A","","","","","N/A"
"4","4","C9, C10, C12, C17","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","DIGIKEY","1276-1096-1-ND","","","","","","CL21A106KOQNNNE","","","","","","0.1"
"5","2","D1, D5","B140-13-F","Diode:1N5817","Diode_SMD:D_SMA","http://www.vishay.com/docs/88525/1n5817.pdf","","","","","DIGIKEY","B140-FDICT-ND","","","","","","B140-13-F","","","","","","0.39"
"6","1","D2","SMF13A","Device:D_Zener","Diode_SMD:D_SOD-123F","~","","","","","DIGIKEY","SMF13A-TPMSCT-ND","","","","","","SMF13A-TP","","","","","","0.38"
"7","1","D7","LTST-C171TBKT","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","","DIGIKEY","160-1645-1-ND","","","","","","LTST-C171TBKT","","","","","","0.32"
"8","1","F1","2A","Device:Fuse","Fuse:Fuse_0805_2012Metric","~","","","","","DIGIKEY","507-1894-1-ND","","","","","","0685T2000-01","","","","","","0.32"
"9","4","H1, H2, H3, H4","M3","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","","","","N/A","N/A","","","","","","N/A","N/A","","","","","N/A"
"10","1","J1","DUT","Connector:Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal","~","","","","","DIGIKEY","ED10561-ND","","","","","","OSTVN02A150","","","","","","1.08"
"11","4","J2, J4, J6, J7","Switch","Connector:Screw_Terminal_01x04","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal","~","","","","","DIGIKEY","ED10563-ND","","","","","","OSTVN04A150","","","","","","1.64"
