Item,Qty,Reference(s),Value,Distributor,Distributor Part #,Part #,Unit Price,Price,Carted
1,6,"C1, C5, C8, C11, C15, C16",0.1uF,DIGIKEY,1276-1003-1-ND,CL21B104KBCNNNC,0.1,0.6,T
2,3,"C2, C3, C4",100pF,DIGIKEY,1276-1261-1-ND,CL21C101JCANNNC,0.1,0.3,T
3,4,"C6, C7, C13, C14",PNU,N/A,N/A,N/A,0,0,
4,4,"C9, C10, C12, C17",10uF,DIGIKEY,1276-1096-1-ND,CL21A106KOQNNNE,0.1,0.4,T
5,2,"D1, D5",B140-13-F,DIGIKEY,B140-FDICT-ND,B140-13-F,0.39,0.78,T
6,1,D2,SMF13A,DIGIKEY,SMF13A-TPMSCT-ND,SMF13A-TP,0.38,0.38,T
7,1,D7,LTST-C171TBKT,DIGIKEY,160-1645-1-ND,LTST-C171TBKT,0.32,0.32,T
8,1,F1,2A,DIGIKEY,2315-FCC20202AATPCT-ND,FCC20202AATP,0.1,0.1,T
9,4,"H1, H2, H3, H4",M3,N/A,N/A,N/A,0,0,
10,1,J1,DUT,DIGIKEY,ED10561-ND,OSTVN02A150,1.08,1.08,T
11,4,"J2, J4, J6, J7",Switch,DIGIKEY,ED10563-ND,OSTVN04A150,1.64,6.56,T
12,1,J3,12V Power,DIGIKEY,ED10561-ND,OSTVN02A150,1.08,1.08,T
13,2,"J5, J13",Mode Switch,DIGIKEY,ED10561-ND,OSTVN02A150,1.08,2.16,T
14,1,J8,Thevenin Range Switch Indicator,DIGIKEY,ED10563-ND,OSTVN04A150,1.64,1.64,T
15,1,J9,Current Range Switch Indicator,DIGIKEY,ED10563-ND,OSTVN04A150,1.64,1.64,T
16,2,"J10, J11",Range Switch,DIGIKEY,ED10561-ND,OSTVN02A150,1.08,2.16,T
17,1,J12,Display Connector,DIGIKEY,ED10563-ND,OSTVN04A150,1.64,1.64,T
18,1,J14,Panel LED,DIGIKEY,ED10561-ND,OSTVN02A150,1.08,1.08,T
19,1,Q1,2N7002,DIGIKEY,2N7002NCT-ND,2N7002,0.45,0.45,T
20,4,"R1, R2, R16, R27",10k+/-0.1%,DIGIKEY,P10KDACT-ND,ERA-6AEB103V,0.32,1.28,T
21,1,R3,499+/-0.1%,DIGIKEY,RG20P499BCT-ND,RG2012P-4990-B-T5,0.48,0.48,T
22,1,R4,6.49k,DIGIKEY,RMCF0805FT6K49CT-ND,RMCF0805FT6K49,0.1,0.1,T
23,1,R5,4.99k+/-0.1%,DIGIKEY,P4.99KDACT-ND,ERA-6AEB4991V,0.32,0.32,T
24,1,R6,49.9k+/-0.1%,DIGIKEY,P49.9KDACT-ND,ERA-6AEB4992V,0.32,0.32,T
25,1,R7,499k+/-0.1%,DIGIKEY,RG20P499KBCT-ND,RG2012P-4993-B-T5,0.48,0.48,T
26,4,"R8, R9, R10, R11",13k,DIGIKEY,RMCF0805FT13K0CT-ND,RMCF0805FT13K0,0.1,0.4,T
27,1,R12,187k,DIGIKEY,738-RMCF0805FT187KCT-ND,RMCF0805FT187K,0.1,0.1,T
28,1,R13,249+/-0.1%,DIGIKEY,P20523CT-ND,ERJ-PB6B2490V,0.37,0.37,T
29,1,R14,2.49k+/-0.1%,DIGIKEY,13-RP0805BRD072K49LCT-ND,RP0805BRD072K49L,0.48,0.48,T
30,2,"R15, R26",2.21k+/-0.1%,DIGIKEY,P2.21KDACT-ND,ERA-6AEB2211V,0.32,0.64,T
31,7,"R17, R24, R25, R28, R29, R30, R31",10k,DIGIKEY,RMCF0805FT10K0CT-ND,RMCF0805FT10K0,0.1,0.7,T
32,2,"R18, R22",1k,DIGIKEY,RMCF0805FT1K00CT-ND,RMCF0805FT1K00,0.1,0.2,T
33,2,"R19, R20",PNU,N/A,N/A,N/A,0,0,
34,1,R21,68,DIGIKEY,P68DACT-ND,ERA-6AEB680V,0.32,0.32,T
35,1,R23,0,DIGIKEY,RMCF0805ZT0R00CT-ND,RMCF0805ZT0R00,0.1,0.1,T
36,1,R38,1.78k,DIGIKEY,YAG4850CT-ND,RT0805BRD071K78L,0.36,0.36,T
37,13,"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13",4952,DIGIKEY,36-4952-ND,4952,0.26,3.38,T
38,1,U1,LM6144xIx,DIGIKEY,LM6144BIN/NOPB-ND,LM6144BIN/NOPB,9.01,9.01,T
39,1,U2,LM4030-4.096,DIGIKEY,296-41427-1-ND,LM4030CMF-4.096/NOPB,1.7,1.7,T
40,1,U3,Raspberry Pi Pico SC0915,DIGIKEY,2648-SC0915CT-ND,SC0915,4,4,INVENTORY
41,1,U4,ADS8328IPW,DIGIKEY,296-19766-ND,ADS8328IPW,14.78,14.78,T
42,1,U5,LM1117DT-3.3,DIGIKEY,LM1117DT-3.3/NOPB-ND,LM1117DT-3.3/NOPB,1.81,1.81,T
43,1,U6,LM6142xIx,MOUSER,926-LM6142BIN/NOPB ,LM6142BIN/NOPB ,5.58,5.58,
44,1,U8,LM1117DT-5.0,DIGIKEY,LM1117DT-5.0/NOPB-ND,LM1117DT-5.0/NOPB,1.81,1.81,T
Total,,,,,,,,71.09,
